0.02,21.12,546.06,2310.3,5.7
0.1219574,27.35,463.24,2139.1,5.95
0.1559282,16,765.12,2708.5,1.29
0.180719,25.12,1034.27,2897.6,5.3
0.2118032,13.42,208.81,1900.6,8.2
0.2372612,12.82,483.33,2210.4,0.01
0.2611504,10.17,1002.57,2879.5,7.02
0.2912957,14.49,1030.39,2117.7,2.3
0.3195901,3.74,609.24,2540.1,5.35
0.3433725,26.28,372.47,2018.9,3.18
0.3684697,22.81,796.61,2139.5,7.49
0.3920339,21.11,413.71,2434.6,4.77
0.4189037,1.65,187.72,2989.9,5.75
0.4441359,22.91,131.85,2349.5,7.7
0.470202,11.12,689.43,2758.4,0
0.4944853,28.6,562.82,2517.6,3.63
0.519805,9.96,885.88,2375.5,1.81
0.5460767,25.56,227.77,2505.7,6.97
0.6153083,8.87,1035.06,2072.8,9.97
0.6673228,25.73,784.58,2447.5,0.95
0.6970695,2.23,832.53,2507,1.17
0.7259795,15.48,207.16,2622.7,6.74
0.7622976,5.3,1014.29,2278.6,5.24
0.8931656,6.29,251.04,2352.8,3.32
0.9750662,26.29,328.64,1920.2,6.78
1.076808,21.44,221.95,2336.9,6.63
1.182388,0.88,264.97,1928.6,6.15
1.2889,19.55,712.94,1908.7,4.54
1.395743,13.76,148.86,2894.5,8.03
1.485879,5.67,259.63,2747,5.22
1.616893,26.44,733.76,2647,7.45
